182,1-9318325521,PANCHMAHAL,"GOVERNMENT POLYTECHNIC,GODHRA"
183,1-9318325896,SURAT,SHREE DHANVANTARY COLLEGE OF ENGINEERING AND TECHNOLOGY
184,1-9318326087,SABARKANTHA,ASIAN INSTITUTE OF TECHNOLGY
185,1-9318312628,ANAND,"SHIVAM INSTITUTE OF MANAGEMENT, VALASAN (ANAND)"
186,1-9318326254,KUTCH,VEERAYATAN POLYTECHNIC
187,1-9318435741,NAVSARI,PRIME COLLEGE OF DIPLOMA
188,1-9318326863,AHMEDABAD,L. M. COLLEGE OF PHARMACY
189,1-9318327615,AHMEDABAD,GUJARAT TECHNOLOGICAL UNIVERSITY - GRADUATE SCHOOL OF PHARMACY
190,1-9318327736,SURAT,BHAGWAN ARIHANT INSTITUTE OF TECHNOLOGY
191,1-9318424018,SURAT,P P SAVANI SCHOOL OF ENGINEERING
192,1-9318299394,GANDHINAGAR,SCHOOL OF PETROLEUM TECHNOLOGY
193,1-9318299525,RAJKOT,SHREE H.N. SHUKLA COLLEGE OF MANAGEMENT STUDIES
194,1-9318299634,VADODARA,PARUL INSTITUTE OF ARCHITECTURE AND RESEARCH
195,1-9318314869,SURAT,"DEPARTMENT OF COMPUTER SCIENCE, VNSG UNIVERSITY"
196,1-9318424410,ANAND,SARDAR PATEL COLLEGE OF ENGINEERING
197,1-9318299898,AHMEDABAD,INDO GERMAN TOOL ROOM
198,1-9318316062,JUNAGADH,N. R. VEKARIA INSTITUTE OF PHARMACY
199,1-9318316217,KHEDA,DALIA INSTITUTE OF DIPLOMA STUDIES
200,1-9318300209,RAJKOT,ASIATIC INSTITUTE OF SCIENCE & TECHNOLOGY
201,1-9318301441,SURAT,"DR. S. & S. S. GHANDHY GOVERNMENT ENGINEERING COLLEGE, SURAT."
202,1-9318301963,MEHSANA,PATEL GROUP OF INSTITUTIONS
203,1-9318303274,SURAT,"SHRI SITARAMBHAI NARANJI PATEL INSTITUTE OF TECHNOLOGY, MANAGED BY VIDYABHARTI TRUST,UMRAKH -BARDOLI"
204,1-9318303695,KUTCH,T.F.GANDHIDHAM POLYTECHNIC
205,1-9318397706,PORBANDAR,GOVERNMENT POLYTECHNIC PORBANDAR
206,1-9318458294,MEHSANA,SHREE S.K.PATEL COLLEGE OF PHARMACEUTICAL EDUCATION & RESEARCH
207,1-9318458645,JUNAGADH,NARANDAS JETHALAL SONECHA MANAGEMENT & TECHNICAL INSTITUTE
208,1-9318458784,RAJKOT,SMT. R. D. GARDI B. PHARMACY COLLEGE
209,1-9318386172,SABARKANTHA,SAMARTH COLLEGE OF COMPUTER APPLICATION
210,1-9318446278,RAJKOT,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY
211,1-9318542637,ANAND,ANAND INSTITUTE OF MANAGEMENT AND INFORMATION SCIENCE
212,1-9318542731,AHMEDABAD,SMT. NILABEN MANUBHAI PADALIA PHARMACY COLLEGE
213,1-9318732790,GANDHINAGAR,SHREE SWAMINARAYAN POLYTEHNIC
214,1-9318733581,BHARUCH,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH"
215,1-9318711086,GANDHINAGAR,SWAMINARAYAN COLLEGE OF ENGINEERING & TECHNOLOGY(DIPLOMA)
216,1-9318736766,GANDHINAGAR,"CSNTRE FOR STUDIES IN RURAL MANAGEMENT, GUJARAT VIDYAPITH"
217,1-9318581731,VADODARA,ELECTRONICS AND MECHANICAL ENGINEERING SCHOOL
218,1-9318582082,AMRELI,SHREE M. L. KAKADIYA MCA MAHILA COLLEGE
219,1-9318582267,AHMEDABAD,NARAYANA BUSIINESS SCHOOL
220,1-9318712135,MEHSANA,NAVSARJAN POLYTECHNIC
221,1-9318712525,MEHSANA,GOVERMENT POLYTECHNIC
222,1-9318582368,BHAVNAGAR,SWAMI SAHAJANAND SCHOOL OF MANAGEMENT BHAVNAGAR
223,1-9318582653,VADODARA,NEOTECH INSTITUTE OF TECHNOLOGY
224,1-9318712695,VALSAD,"GOVERNMENT ENGINEERING COLLEGE, VALSAD"
225,1-9318714161,GANDHINAGAR,"GOVERNMENT POLYTECHNIC, GANDHINAGAR"
226,1-9318719019,SURAT,BHAGWAN MAHAVIR COLLEGE OF ENGINEERING AND TECHNOLOGY
227,1-9318719325,GANDHINAGAR,KALOL INSTITUTE OF TECHNOLOGY & RESEARCH CENTRE
228,1-9318719765,SURAT,C. K. PITHAWALLA INSTITUTE OF PHARMACEUTICAL SCIENCE & RESEARCH
229,1-9318807046,BHARUCH,SHROFF S.R.ROTARY INSTITUTE OF CHEMICAL TECHNOLOGY
230,1-9318808639,GANDHINAGAR,UNITEDWORLD SCHOOL OF BUSINESS
231,1-9318568500,ANAND,"SAT KAIVAL COLLEGE OF PHARMACY,SARSA"
232,1-9318696631,JUNAGADH,OM INSTITUTE OF ENGINEERING AND TECHNOLOGY
233,1-9318763469,BHARUCH,SHRI MH KADAKIA INSTITUTE OF MANAGEMENT & COMPUTER STUDIES
234,1-9318787683,AHMEDABAD,"VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE, CHANDKHEDA"
235,1-9318788332,RAJKOT,LUKHDHIRJI ENGINEERING COLLEGE
236,1-9318810208,RAJKOT,SANJAYBHAI RAJGURU COLLEGE OF DIPLOMA ENGINEERING
237,1-9318699309,VADODARA,PIONEER PHARMACY DEGREE COLLEGE
238,1-9318763582,ANAND,A.R.COLLEGE OF PHARMACY & G.H.PATEL INSTITUTE OF PHARMACY
239,1-9318763843,KUTCH,"GOVERNMENT POLYTECHNIC, BHUJ"
240,1-9318764221,ANAND,BHAILALBHAI & BHIKHABHAI INSTITUTE OF TECHNOLOGY
241,1-9318788829,JAMNAGAR,SHRI JAYSUKHLAL VADHAR INSTITUTE OF MANAGEMENT STUDIES (JVIMS)
242,1-9318571190,ANAND,L B RAO INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH
243,1-9318744857,AHMEDABAD,R. C. TECHNICAL INSTITUTE
244,1-9318766112,AHMEDABAD,ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING
245,1-9318553684,BHAVNAGAR,SIR BHAVSINHJI POLYTECHNIC INSTITUTE
246,1-9318554129,AHMEDABAD,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY
247,1-9318554353,AHMEDABAD,DEPARTMENT OF COMPUTER SCIENCE FACULTY OF MANAGEMENT AND TECHNOLOGY GUJARAT VIDYAPITH AHMEDABAD
248,1-9318573646,DAHOD,"GOVERNMENT ENGINEERING COLLEGE, DAHOD"
249,1-9318683026,ANAND,G H PATEL COLLEGE OF ENGINEERING & TECHNOLOGY
250,1-9318746403,AHMEDABAD,NAVANITLAL RANCHHODLAL INSTITUTE OF BUSINESS MANAGEMENT
251,1-9318767391,RAJKOT,DARSHAN INSTITUTE OF ENGINEERING & TECHNOLOGY FOR DIPLOMA STUDIES
252,1-9318767640,AHMEDABAD,SILVER OAK COLLEGE OF ENGINEERING AND TECHNOLOGY  WITHIN AHMEDABAD MUNICIPAL CORPORATION LIMIT
253,1-9318768324,AHMEDABAD,SAL SCHOOL OF ARCHITECTURE
254,1-9318791394,ANAND,"INDUBHAI PATEL COLLEGE OF PHARMACY AND RESEARCH CENTRE, DHARMAJ"
255,1-9318868356,KHEDA,"GOVERNMENT POLYTECHNIC,KHEDA"
256,1-9318554698,SURAT,DR. S.&S.S. GHANDHY COLLEGE OF ENGINEERING & TECHNOLOGY
257,1-9318575076,SURAT,BHAGWAN MAHAVIR COLLEGE OF PHARMACY
258,1-9318684720,JUNAGADH,SMT. VANITABEN BACHUBHAI NANDOLA MCA COLLEGE
259,1-9318747104,SURAT,S. R. LUTHRA INSTITUTE OF MANAGEMENT
260,1-9318768521,GANDHINAGAR,NAVSARJAN SCHOOL OF TECHNOLOGY
261,1-9318556492,NAVSARI,MAHATMA GANDHI INSTITUTE OF TECHNICAL EDUCATION AND RESEARCH CENTRE
262,1-9318556711,SABARKANTHA,"TATVA INSTITUTE OF TECHNOLOGICAL STUDIE,(TITS),MODASA."
263,1-9318558130,SURAT,BHAGWAN MAHAVIR POLYTECHNIC
264,1-9318629231,SURAT,DR. DAYARAM PATEL PHARMACY COLLEGE
265,1-9318629325,SURAT,C.K.PITHAWALA COLLEGE OF ENGG & TECHNOLOGY
